Date,AAL,AAPL,ADBE,ADI,ADP,ADSK,ALGN,ALXN,AMAT,AMD,AMGN,AMZN,ASML,ATVI,AVGO,BIDU,BIIB,BKNG,BMRN,CDNS,CELG,CERN,CHKP,CHTR,CMCSA,COST,CSCO,CSX,CTAS,CTSH,CTXS,DLTR,EA,EBAY,EXPE,FAST,FB,FISV,GILD,GOOG,GOOGL,HAS,HSIC,IDXX,ILMN,INCY,INTC,INTU,ISRG,JBHT,JD,KLAC,LBTYA,LBTYK,LRCX,LULU,MAR,MCHP,MDLZ,MELI,MNST,MSFT,MU,MXIM,MYL,NFLX,NTAP,NTES,NVDA,NXPI,ORLY,PAYX,PCAR,PEP,QCOM,REGN,ROST,SBUX,SIRI,SNPS,SWKS,TMUS,TSLA,TTWO,TXN,UAL,ULTA,VRSK,VRSN,VRTX,WBA,WDAY,WDC,WLTW,WYNN,XEL,XLNX,F,VIS,CF
2015-03-03,46.3,119.04,78.99,52.6,79.34,62.7,56.97,182.51,22.63,3.14,138.64,384.61,102.79,22.25,114.16,206.34,412.79,1242.03,108.36,18.45,118.47,71.38,83.22,186.96,27.33,134.26,25.23,31.29,79.61,60.6,48.86,79.16,56.67,24.16,86.81,17.76,79.6,39.25,90.04,572.07,578.79,55.34,55.2,78.61,196.03,87.95,29.73,93.24,169.69,80.75,27.53,56.0,55.63,53.38,75.19,65.87,78.62,46.42,33.3,132.55,46.9,39.13,29.66,30.14,55.44,67.82,33.86,88.4,21.47,97.01,211.66,42.05,52.72,84.93,60.01,412.51,50.26,43.02,3.89,46.49,82.26,32.15,199.56,25.21,51.36,69.0,142.03,71.1,63.96,123.52,74.91,88.12,88.53,116.57,125.88,29.5,37.38,12.39,99.75,51.92
2015-03-04,46.47,118.29,77.63,52.3,77.44,62.52,57.15,182.53,22.43,3.05,139.19,382.72,102.81,22.09,115.21,207.69,414.13,1225.67,109.79,18.43,119.57,71.36,82.47,185.74,27.55,134.08,25.05,31.4,79.19,59.9,48.53,78.84,57.2,24.18,85.72,17.21,80.9,38.99,90.28,571.8,578.33,55.09,55.24,78.79,192.68,87.91,29.74,92.72,166.85,79.87,27.72,55.34,54.86,52.83,74.34,65.52,77.9,46.46,33.12,129.98,46.51,38.93,29.27,30.39,55.61,67.11,33.65,89.1,21.71,97.73,207.83,41.59,51.23,84.59,59.54,413.04,50.06,42.59,3.83,46.25,83.57,32.07,202.44,25.05,51.14,68.67,139.91,70.2,63.7,120.05,74.74,82.64,88.36,115.21,124.75,29.41,36.88,12.29,99.02,50.87
2015-03-05,45.95,116.33,78.62,52.34,77.6,62.95,57.89,185.79,22.34,2.98,139.55,387.83,103.6,22.43,116.25,214.23,425.61,1231.9,113.5,18.21,120.71,71.96,83.15,184.48,27.5,137.72,25.02,31.07,78.41,60.19,48.54,79.43,57.38,24.5,87.16,17.55,81.21,38.98,90.59,573.75,581.43,55.09,55.15,78.94,200.13,91.97,29.4,93.36,166.51,80.38,29.0,54.54,55.0,52.88,74.25,64.85,77.67,45.92,33.18,130.67,46.68,38.98,29.28,30.58,56.69,66.81,34.32,92.83,22.12,96.95,208.02,41.92,51.02,84.48,59.61,428.95,50.09,42.85,3.82,46.31,84.86,32.19,200.63,25.21,51.15,67.92,140.86,70.6,64.39,126.96,74.9,84.21,88.37,115.86,124.91,29.71,37.17,12.35,99.07,50.6
2015-03-06,45.57,116.5,77.55,51.87,76.93,61.74,57.09,181.65,22.09,2.92,135.43,380.09,101.68,22.22,113.87,213.31,417.63,1215.99,113.77,18.09,118.03,69.44,82.0,183.52,27.52,136.24,24.71,30.89,77.79,59.47,47.87,79.61,56.36,24.82,86.25,17.52,80.01,38.76,89.18,566.13,572.9,54.4,54.05,77.26,193.14,90.0,28.93,92.68,164.68,80.53,28.62,53.51,54.19,52.25,73.7,62.3,76.38,45.8,32.01,127.9,45.54,38.3,28.5,30.63,55.44,64.87,34.01,92.51,21.82,96.76,204.19,41.73,50.37,83.56,60.1,422.13,49.83,42.2,3.8,45.94,84.12,32.11,193.88,24.81,50.54,66.67,138.59,70.17,63.92,126.34,74.14,82.61,85.98,114.5,123.12,28.62,36.45,12.21,97.75,49.72
2015-03-09,45.5,117.0,77.93,52.35,77.68,61.76,56.49,184.91,22.26,2.93,135.54,378.56,102.26,22.46,113.18,211.62,415.51,1217.0,113.18,18.2,118.41,69.57,82.43,184.03,27.61,137.28,25.08,31.14,79.26,59.77,48.18,79.7,56.67,25.21,86.54,17.66,79.44,39.07,88.8,567.29,574.1,54.68,54.5,76.21,193.07,89.57,28.52,92.91,164.2,80.49,28.92,53.78,54.2,52.4,74.43,62.24,77.28,46.33,32.19,123.74,45.74,38.74,28.66,30.69,55.74,63.66,34.22,91.83,21.88,97.0,206.58,42.01,50.86,83.45,61.11,426.87,50.33,42.58,3.82,45.96,85.39,32.41,190.88,24.82,51.22,66.15,140.96,70.86,64.33,126.98,75.17,83.03,86.02,115.3,119.38,28.98,36.52,12.29,98.56,50.76
2015-03-10,44.38,114.58,76.01,51.22,76.17,59.64,56.86,181.28,21.72,2.92,134.29,369.51,100.57,21.9,111.4,210.39,414.2,1191.09,113.16,17.84,118.33,69.1,82.03,181.34,26.76,134.98,24.48,30.66,77.31,58.54,46.78,79.61,55.05,24.55,85.39,17.54,77.55,38.37,86.57,553.49,559.85,54.13,53.8,75.24,193.12,89.33,27.63,90.76,162.51,79.77,28.25,52.71,53.21,51.5,71.83,62.08,76.13,44.7,31.35,122.66,45.31,38.0,27.61,30.24,55.31,62.15,33.78,91.35,22.26,95.85,203.06,41.77,49.42,82.05,60.42,422.84,50.08,42.18,3.76,45.09,84.54,31.76,190.32,24.33,50.07,64.61,140.47,68.06,62.78,124.14,74.47,81.29,83.35,114.26,116.39,29.05,35.64,12.05,96.82,48.87
2015-03-11,44.99,112.49,76.01,51.3,76.46,59.88,56.93,178.81,21.68,2.84,133.52,366.37,101.07,21.97,110.99,204.38,408.11,1177.55,114.45,17.83,117.58,69.16,81.63,182.61,26.47,134.29,24.14,30.87,77.21,58.74,46.5,78.83,55.09,24.74,85.01,17.46,77.57,38.47,86.7,549.67,555.69,53.74,53.65,74.99,190.24,90.02,28.18,90.56,164.5,82.65,27.51,52.83,52.36,50.42,72.11,62.27,75.95,44.24,31.21,125.24,45.32,37.96,27.88,30.11,59.0,62.88,33.67,89.49,22.14,96.24,204.28,41.76,49.82,81.35,59.05,424.55,50.14,41.84,3.79,45.34,85.46,31.51,193.74,24.42,50.13,65.97,141.96,69.29,63.21,122.64,74.28,82.33,82.09,115.77,113.8,28.79,35.67,12.07,96.96,48.51
2015-03-12,46.22,114.53,77.4,51.5,77.72,60.14,56.99,178.0,21.97,2.76,134.87,374.24,99.29,21.95,112.29,203.39,407.64,1186.6,115.59,17.95,118.82,70.37,81.46,193.46,27.05,136.15,24.12,31.35,78.33,59.51,47.47,80.89,55.06,24.63,87.34,17.72,78.93,39.12,87.54,553.99,561.17,54.44,54.24,75.16,188.11,89.96,26.85,91.99,166.42,82.28,28.2,52.94,52.71,50.81,71.61,62.82,77.58,44.85,31.81,126.6,45.95,37.09,28.02,30.2,62.3,64.05,33.31,87.07,21.94,96.86,209.55,42.84,50.94,83.16,58.3,425.16,50.72,42.73,3.82,45.63,86.07,31.55,191.07,24.47,50.17,67.74,144.82,70.51,63.81,123.31,75.85,83.17,82.65,116.78,113.52,29.3,36.2,12.39,98.21,48.7
2015-03-13,46.73,113.73,77.62,51.52,77.26,60.48,55.98,176.89,22.4,2.75,134.88,370.58,99.94,22.14,111.3,204.45,413.35,1157.77,123.52,18.11,117.73,69.85,81.22,191.13,26.92,136.0,23.86,31.3,78.05,59.03,47.17,81.91,55.3,24.49,87.3,17.64,78.05,38.7,87.26,545.82,553.0,53.59,53.48,74.5,188.21,89.31,26.96,93.02,164.48,82.62,28.08,53.2,51.99,50.11,72.52,63.12,76.9,44.69,31.36,124.44,45.16,37.41,28.72,30.27,59.76,62.63,32.78,87.9,21.97,102.84,210.23,42.56,50.43,81.95,57.68,429.38,50.61,42.69,3.8,45.71,86.13,31.44,188.68,25.43,50.08,67.57,150.1,70.73,63.63,124.0,75.37,82.56,81.5,117.07,114.19,28.96,35.72,12.42,97.36,48.82
2015-03-16,47.68,114.99,78.33,52.65,78.59,61.5,56.34,178.5,22.7,2.76,142.55,373.35,102.15,22.33,115.63,205.3,421.32,1158.44,124.37,18.52,120.84,71.03,83.09,191.38,27.24,136.65,24.17,31.79,80.71,59.87,48.24,83.71,55.82,24.7,88.85,17.87,78.07,39.33,88.74,552.99,561.64,54.27,54.58,76.21,196.72,91.28,26.88,94.56,168.94,85.03,27.72,54.26,52.67,50.66,73.61,63.61,78.22,45.52,31.54,125.81,46.01,37.58,28.51,31.05,61.27,60.28,33.08,91.17,22.23,102.55,215.06,43.48,51.08,82.94,58.83,451.77,51.0,43.04,3.82,46.37,89.71,31.87,195.7,25.83,51.15,67.92,150.18,71.14,64.05,127.73,78.12,83.87,82.35,119.11,112.92,29.37,37.2,12.64,98.74,48.88
