Date,Adj Close
2015-01-16,0.013114095
2015-01-20,0.0021326542
2015-01-21,0.005048156
2015-01-22,0.014870644
2015-01-23,-0.0054827332
2015-01-26,0.0023418665
2015-01-27,-0.013190687
2015-01-28,-0.012824416
2015-01-29,0.009243727
2015-01-30,-0.0125748515
2015-02-02,0.012384057
2015-02-03,0.01446116
2015-02-04,-0.003807664
2015-02-05,0.010095
2015-02-06,-0.002765417
2015-02-09,-0.004475653
2015-02-10,0.010653019
2015-02-11,0.0005801916
2015-02-12,0.009616852
2015-02-13,0.004116535
2015-02-17,0.001573205
2015-02-18,9.5009804e-05
2015-02-19,-0.0007136464
2015-02-20,0.0060003996
2015-02-23,-0.00014197826
2015-02-24,0.0028406382
2015-02-25,-0.0008496046
2015-02-26,-0.0011811852
2015-02-27,-0.0034064054
2015-03-02,0.0063136816
2015-03-03,-0.004104197
2015-03-04,-0.0042156577
2015-03-05,0.0010939837
2015-03-06,-0.014064193
2015-03-09,0.00414443
2015-03-10,-0.016221583
2015-03-11,-0.0023418665
2015-03-12,0.01271379
2015-03-13,-0.006132126
2015-03-16,0.013360381
2015-03-17,-0.002972424
2015-03-18,0.012021422
2015-03-19,-0.0045612454
2015-03-20,0.008826852
2015-03-23,-0.0019484162
2015-03-24,-0.0056191683
2015-03-25,-0.014653742
2015-03-26,-0.0023813844
2015-03-27,0.0022894144
2015-03-30,0.012199879
2015-03-31,-0.008739293
2015-04-01,-0.003536284
2015-04-02,0.003597498
2015-04-06,0.00673306
2015-04-07,-0.0026465058
2015-04-08,0.00337708
2015-04-09,0.0044236183
2015-04-10,0.0054569244
2015-04-13,-0.0045226812
2015-04-14,0.001912713
2015-04-15,0.0044870377
2015-04-16,-0.0002849698
2015-04-17,-0.011503696
2015-04-20,0.009136915
2015-04-21,-0.0011911392
2015-04-22,0.0049140453
2015-04-23,0.0025162697
2015-04-24,0.002320528
2015-04-27,-0.004157901
2015-04-28,0.0031790733
2015-04-29,-0.0041146874
2015-04-30,-0.010020614
2015-05-01,0.010841489
2015-05-04,0.002847433
2015-05-05,-0.011451721
2015-05-06,-0.004116893
2015-05-07,0.0039896965
2015-05-08,0.01316607
2015-05-11,-0.0047727227
2015-05-12,-0.0029913187
2015-05-13,0.00019049644
2015-05-14,0.010427594
2015-05-15,0.0010838509
2015-05-18,0.0031068325
2015-05-19,-0.0003285408
2015-05-20,-0.0007041693
2015-05-21,0.002912283
2015-05-22,-0.0023884773
2015-05-26,-0.010751843
2015-05-27,0.009492278
2015-05-28,-0.0011280775
2015-05-29,-0.006213069
2015-06-01,0.0020366907
2015-06-02,-0.0009928346
2015-06-03,0.0026495457
2015-06-04,-0.008446455
2015-06-05,-0.0017133355
2015-06-08,-0.006149411
2015-06-09,-0.00014436245
2015-06-10,0.011993647
2015-06-11,0.0032235384
2015-06-12,-0.0076547265
2015-06-15,-0.0042856336
2015-06-16,0.005451679
2015-06-17,0.001617074
2015-06-18,0.010399461
2015-06-19,-0.0044392943
2015-06-22,0.0051232576
2015-06-23,0.00070798397
2015-06-24,-0.0072628856
2015-06-25,-0.0030403137
2015-06-26,-0.00019079447
2015-06-29,-0.020970047
2015-06-30,0.002093196
2015-07-01,0.008015275
2015-07-02,-0.00091558695
2015-07-06,-0.0028457642
2015-07-07,0.0062886477
2015-07-08,-0.016777456
2015-07-09,0.0018091202
2015-07-10,0.012591362
2015-07-13,0.0110372305
2015-07-14,0.0043381453
2015-07-15,-0.0003322959
2015-07-16,0.008024335
2015-07-17,0.0008479357
